ISBN,Book-Title,Book-Author,Publisher,Genre,combined_features
345465083,Seabiscuit,LAURA HILLENBRAND,Ballantine Books,,Seabiscuit LAURA HILLENBRAND Ballantine Books 
451625889,The Prince,Niccolo Machiavelli,Signet Book,,The Prince Niccolo Machiavelli Signet Book 
1558531025,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)),H. Jackson Brown,Thomas Nelson,,Life's Little Instruction Book (Life's Little Instruction Books (Paperback)) H. Jackson Brown Thomas Nelson 
441783589,Starship Troopers,Robert A. Heinlein,Ace Books,,Starship Troopers Robert A. Heinlein Ace Books 
394895894,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1)",PHILIP PULLMAN,Laurel Leaf,,"The Ruby in the Smoke (Sally Lockhart Trilogy, Book 1) PHILIP PULLMAN Laurel Leaf "
1569871213,Black Beauty (Illustrated Classics),Anna Sewell,Landoll,,Black Beauty (Illustrated Classics) Anna Sewell Landoll 
375410538,Anil's Ghost,MICHAEL ONDAATJE,Knopf,,Anil's Ghost MICHAEL ONDAATJE Knopf 
966986105,Prescription for Terror,Sandra Levy Ceren,Andrew Scott Publishers,,Prescription for Terror Sandra Levy Ceren Andrew Scott Publishers 
087113375X,Modern Manners: An Etiquette Book for Rude People,P.J. O'Rourke,Atlantic Monthly Press,,Modern Manners: An Etiquette Book for Rude People P.J. O'Rourke Atlantic Monthly Press 
340767936,Turning Thirty,Mike Gayle,Hodder &amp; Stoughton General Division,,Turning Thirty Mike Gayle Hodder &amp; Stoughton General Division 
743403843,Decipher,Stel Pavlou,Simon &amp; Schuster (Trade Division),,Decipher Stel Pavlou Simon &amp; Schuster (Trade Division) 
60930365,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell",Sarah Payne Stuart,Perennial,,"My First Cousin Once Removed: Money, Madness, and the Family of Robert Lowell Sarah Payne Stuart Perennial "
60177586,Standing Firm: A Vice-Presidential Memoir,Dan Quayle,Harpercollins,,Standing Firm: A Vice-Presidential Memoir Dan Quayle Harpercollins 
71416331,Team Bush : Leadership Lessons from the Bush White House,Donald F. Kettl,McGraw-Hill,,Team Bush : Leadership Lessons from the Bush White House Donald F. Kettl McGraw-Hill 
375509038,The Right Man : The Surprise Presidency of George W. Bush,DAVID FRUM,Random House,,The Right Man : The Surprise Presidency of George W. Bush DAVID FRUM Random House 
553062042,Daybreakers Louis Lamour Collection,Louis Lamour,Bantam Doubleday Dell,,Daybreakers Louis Lamour Collection Louis Lamour Bantam Doubleday Dell 
316769487,The Catcher in the Rye,J.D. Salinger,"Little, Brown",,"The Catcher in the Rye J.D. Salinger Little, Brown "
8445071777,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.)",J. R. R. Tolkien,Distribooks,,"El Senor De Los Anillos: El Retorno Del Rey (Tolkien, J. R. R. Lord of the Rings. 3.) J. R. R. Tolkien Distribooks "
679429220,Midnight in the Garden of Good and Evil: A Savannah Story,John Berendt,Random House,,Midnight in the Garden of Good and Evil: A Savannah Story John Berendt Random House 
671867156,Pretend You Don't See Her,Mary Higgins Clark,Pocket,,Pretend You Don't See Her Mary Higgins Clark Pocket 
312252617,Fast Women,Jennifer Crusie,St. Martin's Press,,Fast Women Jennifer Crusie St. Martin's Press 
312261594,Female Intelligence,Jane Heller,St. Martin's Press,,Female Intelligence Jane Heller St. Martin's Press 
316748641,Pasquale's Nose: Idle Days in an Italian Town,Michael Rips,Back Bay Books,,Pasquale's Nose: Idle Days in an Italian Town Michael Rips Back Bay Books 
316973742,The Gospel of Judas: A Novel,Simon Mawer,Back Bay Books,,The Gospel of Judas: A Novel Simon Mawer Back Bay Books 
385235941,"Prize Stories, 1987: The O'Henry Awards",William Abrahams,Doubleday Books,,"Prize Stories, 1987: The O'Henry Awards William Abrahams Doubleday Books "
446677450,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not!",Robert T. Kiyosaki,Warner Books,,"Rich Dad, Poor Dad: What the Rich Teach Their Kids About Money--That the Poor and Middle Class Do Not! Robert T. Kiyosaki Warner Books "
451166892,The Pillars of the Earth,Ken Follett,Signet Book,,The Pillars of the Earth Ken Follett Signet Book 
553347594,McDonald's: Behind the Arches,John F. Love,Bantam,,McDonald's: Behind the Arches John F. Love Bantam 
671621009,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth!,Robert G. Allen,Fireside,,Creating Wealth : Retire in Ten Years Using Allen's Seven Principles of Wealth! Robert G. Allen Fireside 
067976397X,Corelli's Mandolin : A Novel,LOUIS DE BERNIERES,Vintage,,Corelli's Mandolin : A Novel LOUIS DE BERNIERES Vintage 
684822733,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans",Pam Proctor,Fireside,,"Love, Miracles, and Animal Healing : A heartwarming look at the spiritual bond between animals and humans Pam Proctor Fireside "
786868716,The Five People You Meet in Heaven,Mitch Albom,Hyperion,,The Five People You Meet in Heaven Mitch Albom Hyperion 
8472238822,Tu Nombre Escrito En El Agua (La Sonrisa Vertical),Irene Gonzalez Frei,Tusquets,,Tu Nombre Escrito En El Agua (La Sonrisa Vertical) Irene Gonzalez Frei Tusquets 
671864769,Relics (Star Trek: The Next Generation),Michael Jan Friedman,Star Trek,,Relics (Star Trek: The Next Generation) Michael Jan Friedman Star Trek 
671521519,Bless The Beasts And Children : Bless The Beasts And Children,Glendon Swarthout,Pocket,,Bless The Beasts And Children : Bless The Beasts And Children Glendon Swarthout Pocket 
440222303,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5)",Neal Barrett Jr.,Dell,,"The Touch of Your Shadow, the Whisper of Your Name (Babylon 5, Book 5) Neal Barrett Jr. Dell "
312953453,Blood Oath,David Morrell,St. Martin's Press,,Blood Oath David Morrell St. Martin's Press 
446608653,The Alibi,Sandra Brown,Warner Books,,The Alibi Sandra Brown Warner Books 
446612545,The Beach House,James Patterson,Warner Books,,The Beach House James Patterson Warner Books 
446612618,A Kiss Remembered,Sandra Brown,Warner Books,,A Kiss Remembered Sandra Brown Warner Books 
451208080,The Short Forever,Stuart Woods,Signet Book,,The Short Forever Stuart Woods Signet Book 
553584383,Dead Aim,IRIS JOHANSEN,Bantam Books,,Dead Aim IRIS JOHANSEN Bantam Books 
671027360,Angels &amp; Demons,Dan Brown,Pocket Star,,Angels &amp; Demons Dan Brown Pocket Star 
812575954,The Deal,Joe Hutsko,Tor Books (Mm),,The Deal Joe Hutsko Tor Books (Mm) 
316735736,All He Ever Wanted: A Novel,Anita Shreve,Back Bay Books,,All He Ever Wanted: A Novel Anita Shreve Back Bay Books 
743439740,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder",Ann Rule,Pocket,,"Every Breath You Take : A True Story of Obsession, Revenge, and Murder Ann Rule Pocket "
345372700,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground",LEWIS GRIZZARD,Ballantine Books,,"If I Ever Get Back to Georgia, I'm Gonna Nail My Feet to the Ground LEWIS GRIZZARD Ballantine Books "
380619458,The Mosquito Coast,Paul Theroux,Harper Mass Market Paperbacks (Mm),,The Mosquito Coast Paul Theroux Harper Mass Market Paperbacks (Mm) 
446325805,"If Love Were Oil, I'd Be About a Quart Low",Lewis Grizzard,Warner Books (Mm),,"If Love Were Oil, I'd Be About a Quart Low Lewis Grizzard Warner Books (Mm) "
451406923,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims",Charles Hickey,Onyx Books,,"Goodbye, My Little Ones: The True Story of a Murderous Mother and Five Innocent Victims Charles Hickey Onyx Books "
671042858,The Girl Who Loved Tom Gordon,Stephen King,Pocket,,The Girl Who Loved Tom Gordon Stephen King Pocket 
743249992,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions,Ben Mezrich,Free Press,,Bringing Down the House: The Inside Story of Six M.I.T. Students Who Took Vegas for Millions Ben Mezrich Free Press 
840734530,"The Oneprince (The Redaemian Chronicles, Book 1)",Bill Hand,Thomas Nelson Inc,,"The Oneprince (The Redaemian Chronicles, Book 1) Bill Hand Thomas Nelson Inc "
425184226,The Sum of All Fears,Tom Clancy,Berkley Publishing Group,,The Sum of All Fears Tom Clancy Berkley Publishing Group 
375500766,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends,DANA REEVE,Random House,,Care Packages : Letters to Christopher Reeve from Strangers and Other Friends DANA REEVE Random House 
9724119378,O Deus Das Pequenas Coisas,Roy,Edicoes Asa,,O Deus Das Pequenas Coisas Roy Edicoes Asa 
451205197,Lady in Green/Minor Indiscretions (Signet Regency Romance),Barbara Metzger,Signet Book,,Lady in Green/Minor Indiscretions (Signet Regency Romance) Barbara Metzger Signet Book 
60929790,One Hundred Years of Solitude,Gabriel Garcia Marquez,Perennial,,One Hundred Years of Solitude Gabriel Garcia Marquez Perennial 
60976845,Little Altars Everywhere: A Novel,Rebecca Wells,Perennial,,Little Altars Everywhere: A Novel Rebecca Wells Perennial 
61099325,Coyote Waits (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,HarperTorch,,Coyote Waits (Joe Leaphorn/Jim Chee Novels) Tony Hillerman HarperTorch 
671004573,Before I Say Good-Bye,Mary Higgins Clark,Pocket,,Before I Say Good-Bye Mary Higgins Clark Pocket 
446601640,Slow Waltz in Cedar Bend,Robert James Waller,Warner Books,,Slow Waltz in Cedar Bend Robert James Waller Warner Books 
330484516,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title),Rachel Harris,Pan Macmillan,,Twenty Minute Retreats: Revive Your Spirits in Just Minutes a Day (A Pan Self-discovery Title) Rachel Harris Pan Macmillan 
038572179X,Atonement : A Novel,IAN MCEWAN,Anchor,,Atonement : A Novel IAN MCEWAN Anchor 
393020371,Next: The Future Just Happened,Michael Lewis,W.W. Norton &amp; Company,,Next: The Future Just Happened Michael Lewis W.W. Norton &amp; Company 
1900850303,The Angelic Darkness,Richard Zimler,Arcadia Books,,The Angelic Darkness Richard Zimler Arcadia Books 
1903019699,The Soulbane Stratagem,Norman Jetmundsen,"John Hunt Publishing, Ltd.",,"The Soulbane Stratagem Norman Jetmundsen John Hunt Publishing, Ltd. "
345425294,Gangster,Lorenzo Carcaterra,Fawcett Books,,Gangster Lorenzo Carcaterra Fawcett Books 
451410319,Hush,Anne Frasier,Onyx Books,,Hush Anne Frasier Onyx Books 
553583468,"Whisper of Evil (Hooper, Kay. Evil Trilogy.)",Kay Hooper,Bantam Books,,"Whisper of Evil (Hooper, Kay. Evil Trilogy.) Kay Hooper Bantam Books "
8420639133,Temor y Temblor,Soren Kierkegaard,Alianza,,Temor y Temblor Soren Kierkegaard Alianza 
8476409419,Estudios sobre el amor,Jose Ortega Y Gaset,Downtown Book Center,,Estudios sobre el amor Jose Ortega Y Gaset Downtown Book Center 
380778556,Rebecca,Daphne Du Maurier,Avon,,Rebecca Daphne Du Maurier Avon 
451525221,Scarlet Letter,Nathaniel Hawthorne,Signet Book,,Scarlet Letter Nathaniel Hawthorne Signet Book 
2740230,Keep It Simple: And Get More Out of Life,Nick Page,Trafalgar Square,,Keep It Simple: And Get More Out of Life Nick Page Trafalgar Square 
385336772,Diary of a Mad Mom-To-Be,Laura Wolf,Delta,,Diary of a Mad Mom-To-Be Laura Wolf Delta 
440949424,Locked in Time (Laurel Leaf Books),LOIS DUNCAN,Laure Leaf,,Locked in Time (Laurel Leaf Books) LOIS DUNCAN Laure Leaf 
505524996,Contact,Susan Grant,Love Spell,,Contact Susan Grant Love Spell 
140252800,The Brimstone Wedding,Barbara Vine,Penguin Books Ltd,,The Brimstone Wedding Barbara Vine Penguin Books Ltd 
451452755,The Catswold Portal,Shirley Rousseau Murphy,Roc,,The Catswold Portal Shirley Rousseau Murphy Roc 
812575482,Through Wolf's Eyes (Wolf),Jane Lindskold,Tor Fantasy,,Through Wolf's Eyes (Wolf) Jane Lindskold Tor Fantasy 
044651747X,Puerto Vallarta Squeeze,Robert James Waller,Warner Books,,Puerto Vallarta Squeeze Robert James Waller Warner Books 
60801263,Tree Grows In Brooklyn,Betty Smith,Harpercollins Publisher,,Tree Grows In Brooklyn Betty Smith Harpercollins Publisher 
61030147,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think",Cybill Shepherd,Avon Books,,"Cybill Disobedience: How I Survived Beauty Pageants, Elvis, Sex, Bruce Willis, Lies, Marriage, Motherhood, Hollywood, and the Irrepressible Urge to Say What I Think Cybill Shepherd Avon Books "
140250964,Snow Angels,Stewart O'Nan,Penguin Books,,Snow Angels Stewart O'Nan Penguin Books 
446527165,Wish You Well,David Baldacci,Warner Books,,Wish You Well David Baldacci Warner Books 
671461494,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Pocket,,The Hitchhiker's Guide to the Galaxy Douglas Adams Pocket 
385337639,Crow Lake (Today Show Book Club #7),Mary Lawson,Delta,,Crow Lake (Today Show Book Club #7) Mary Lawson Delta 
039575514X,My Antonia,Willa Cather,Mariner Books,,My Antonia Willa Cather Mariner Books 
451206673,Pen Pals,Olivia Goldsmith,Signet Book,,Pen Pals Olivia Goldsmith Signet Book 
330332775,Bridget Jones's Diary,Helen Fielding,Picador (UK),,Bridget Jones's Diary Helen Fielding Picador (UK) 
486284735,Pride and Prejudice (Dover Thrift Editions),Jane Austen,Dover Publications,,Pride and Prejudice (Dover Thrift Editions) Jane Austen Dover Publications 
671021745,EYE ON CRIME: HARDY BOYS #153,Franklin W. Dixon,Aladdin,,EYE ON CRIME: HARDY BOYS #153 Franklin W. Dixon Aladdin 
671047612,Skin And Bones,Franklin W. Dixon,Aladdin,,Skin And Bones Franklin W. Dixon Aladdin 
671504282,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The)",Franklin W. Dixon,Simon Pulse,,"LAW OF THE JUNGLE (HARDY BOYS CASE FILE 105) : LAW OF THE JUNGLE (Hardy Boys, The) Franklin W. Dixon Simon Pulse "
399138684,The Cat Who Came to Breakfast (Cat Who... (Hardcover)),Lilian Jackson Braun,Putnam Pub Group,,The Cat Who Came to Breakfast (Cat Who... (Hardcover)) Lilian Jackson Braun Putnam Pub Group 
785263292,"If Singleness Is a Gift, What's the Return Policy?",Holly Virden,Nelson Books,,"If Singleness Is a Gift, What's the Return Policy? Holly Virden Nelson Books "
830714014,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are,H. Norman Wright,Regal Books,,Always Daddy's Girl: Understanding Your Father's Impact on Who You Are H. Norman Wright Regal Books 
345354931,Night Mare (Xanth Novels (Paperback)),Piers Anthony,Del Rey Books,,Night Mare (Xanth Novels (Paperback)) Piers Anthony Del Rey Books 
553278223,The Martian Chronicles,RAY BRADBURY,Spectra,,The Martian Chronicles RAY BRADBURY Spectra 
3150000335,Kabale Und Liebe,Schiller,"Philipp Reclam, Jun Verlag GmbH",,"Kabale Und Liebe Schiller Philipp Reclam, Jun Verlag GmbH "
3257203659,Der illustrierte Mann. ErzÃ?Â¤hlungen.,Ray Bradbury,Diogenes,,Der illustrierte Mann. ErzÃ?Â¤hlungen. Ray Bradbury Diogenes 
3257207522,Der KÃ?Â¶nig in Gelb.,Raymond Chandler,Diogenes Verlag,,Der KÃ?Â¶nig in Gelb. Raymond Chandler Diogenes Verlag 
3257208626,Fahrenheit 451,Ray Bradbury,Distribooks Inc,,Fahrenheit 451 Ray Bradbury Distribooks Inc 
3257208634,Die Mars- Chroniken. Roman in ErzÃ?Â¤hlungen.,Ray Bradbury,Diogenes Verlag,,Die Mars- Chroniken. Roman in ErzÃ?Â¤hlungen. Ray Bradbury Diogenes Verlag 
3257208669,Das BÃ?Â¶se kommt auf leisen Sohlen.,Ray Bradbury,Diogenes,,Das BÃ?Â¶se kommt auf leisen Sohlen. Ray Bradbury Diogenes 
3257210450,LÃ?Â¶wenzahnwein. Roman.,Ray Bradbury,Diogenes Verlag,,LÃ?Â¶wenzahnwein. Roman. Ray Bradbury Diogenes Verlag 
3257212054,Das Kind von morgen. ErzÃ?Â¤hlungen.,Ray Bradbury,Diogenes Verlag,,Das Kind von morgen. ErzÃ?Â¤hlungen. Ray Bradbury Diogenes Verlag 
3257212429,Die Mechanismen der Freude. ErzÃ?Â¤hlungen.,Ray Bradbury,Diogenes Verlag,,Die Mechanismen der Freude. ErzÃ?Â¤hlungen. Ray Bradbury Diogenes Verlag 
3257214154,Familientreffen. ErzÃ?Â¤hlungen.,Ray Bradbury,Diogenes Verlag,,Familientreffen. ErzÃ?Â¤hlungen. Ray Bradbury Diogenes Verlag 
3257216416,Der Tod kommt schnell in Mexico. ErzÃ?Â¤hlungen.,Ray Bradbury,Diogenes Verlag,,Der Tod kommt schnell in Mexico. ErzÃ?Â¤hlungen. Ray Bradbury Diogenes Verlag 
3257233051,Veronika Deschliesst Zu Sterben / Vernika Decides to Die,Paolo Coelho,Distribooks,,Veronika Deschliesst Zu Sterben / Vernika Decides to Die Paolo Coelho Distribooks 
